Taxon	Family	Intrinsic_muscles	Body_mass	Distance_TL-labia	TL_CSA	Length_labia	Tracheal_length	Bronchial_length	Tracheal_diameter_EXT	Tracheal_diameter_INT	Distance_TL-labia_right	Distance_TL-labia_left	TL_CSA_right	TL_CSA_left	Length_labia_right	Length_labia_left	Bronchial_length_left	Bronchial_length_right	IM_CSA_left	IM_CSA_right	IM_CSA_average
Apus_affinis	Apodidae	Absent	22.6	1283.24	139667.9854	299.6123835	32826.221	7117.2314	1975.333333	1696.333333	1252.25	1314.23	160684.8447	118651.1262	298.2118252	301.0129417	6947.28	7287.19	NA	NA	NA
Chaetura_pelagica_16731	Apodidae	Absent	23.6	1530.038	57435.5	166.0041667	28670	4352	1950.5	1731.833333	1502.315	1557.761	54922	59949	183.5043333	148.504	5097	3607	NA	NA	NA
Chaetura_pelagica_15725	Apodidae	Absent	23.6	1933.8165	65921.728	153.4268333	NA	NA	1975.666667	1674.5	1918.826	1948.807	73257.364	58586.092	115.665	191.1886667	NA	NA	NA	NA	NA
Collocalia_esculenta	Apodidae	Absent	7.1	943.745	22691.42933	113.7073333	21033.842	2687.3429	1178.166667	985.5	1003.46	884.03	24386.225	20996.63367	113.4236667	113.991	2469.3	2905.39	NA	NA	NA
Chordeiles_minor	Caprimulgidae	Absent	79.3	1728.5305	108335.6897	108.1446667	38220	6575	2418.166667	1957.833333	1723.677	1733.384	109466.8047	107204.5747	97.42266667	118.8666667	6790	6360	NA	NA	NA
Archilochus_colubris	Trochilidae	Present	3.1	1408.14	27516.48483	318.2655	9725.1081	9999.12505	897.1666667	639.3333333	1348.591	1467.689	27268.029	27764.94067	299.383	337.148	10055.22	9943.04	225100.997	286686.99	255893.9935
Calliphlox_amethystina	Trochilidae	Present	2.8	1552.7	31514.12333	238.1115	NA	NA	1270.666667	944.4833333	NA	1552.7	29377.57267	33650.674	219.308	256.915	NA	NA	NA	NA	NA
Coeligena_violifer	Trochilidae	Present	7.4	2087.0355	56687.85167	627.984	14161.807	17405.6805	1567.333333	1363.666667	2070.882	2103.189	63603.38	49772.32333	616.376	639.592	17586.45	17224.91	2204982.102	1801738.622	2003360.362
Eutoxeres_condamini	Trochilidae	Present	10.9	2955.9295	165058.0695	558.323	17392.448	15913.559	1590.833333	1270	2880.051	3031.808	154873.1393	175242.9997	557.218	559.428	16143.87	15683.25	1499283.945	1511879.05	1505581.498
Florisuga_mellivora	Trochilidae	Present	7.4	2878.515	104264.0948	324.858	7980	15480	1549	1282	3429.858	2327.172	149844.7887	58683.401	357.664	292.052	15340	15620	1276398.819	1401153.317	1338776.068
Heliangelus_amethysticollis	Trochilidae	Present	5.1	2269.0555	46570.23883	366.9685	23800	18747.5	1130.5	970.6666667	2432.521	2105.59	45843.45233	47297.02533	340.394	393.543	20035	17460	2172813.828	1817767.943	1995290.886
Mellisuga_minima	Trochilidae	Present	2.4	2544.6925	26431.32933	343.006	9691.5436	11377.2025	1154.666667	915.1666667	2244.885	2844.5	28575.256	24287.40267	320.354	365.658	11255.83	11498.58	974250.346	1052746.229	1013498.288
Oreotrochilus_chimborazo_365	Trochilidae	Present	8.2	2060.491	88335.5795	345.769	9301	12605	1357	1127	2040.816	2080.166	85722.65967	90948.49933	313.402	378.136	13300	11910	1647083.934	1641984.018	1644533.976
Oreotrochilus_chimborazo_367	Trochilidae	Present	8.2	1894.874	72571.56083	281.7275	NA	NA	NA	NA	1956.712	1833.036	78149.02867	66994.093	221.005	342.45	NA	NA	834492.35	828689.21	831590.7775
Patagona_gigas	Trochilidae	Present	20.2	NA	138079.4428	721.934	25790	25860	2092.75	1605	NA	NA	139500.279	136658.6067	721.934	NA	26980	24740	2063829.128	1827066.154	1945447.641
Phaethornis_guy	Trochilidae	Present	6.3	1787.928	107400.4062	140.7075	NA	NA	1389.166667	1177.166667	1721.789	1854.067	125673.878	89126.93433	133.617	147.798	NA	NA	961142.62	827977.32	894559.9665
Phaethornis_hispidus	Trochilidae	Present	5	1446.07	35818.07767	136.79	18160	14660	1412.166667	1285.666667	1439.229	1452.911	39891.03633	31745.119	132.192	141.388	13540	15780	879220.004	1069151.651	974185.8275
Phaethornis_superciliosus	Trochilidae	Present	6.3	2693.6225	112416.3572	138.5415	17490	14630	1483.666667	1301	2797.748	2589.497	123172.3833	101660.331	102.057	175.026	14980	14280	2725223.017	2131054.69	2428138.854
Phlogophilus_harterti	Trochilidae	Present	2.7	1822.153	33705.40467	258.5745	14910	11610	1073.333333	873.3333333	1824.673	1819.633	37391.44533	30019.364	223.125	294.024	11780	11440	772569.111	858503.836	815536.4735
Selasphorus_heloisa	Trochilidae	Present	2.2	1424.0795	26329.84583	271.5195	14190	9160	1148.166667	854.6666667	1433.346	1414.813	27869.419	24790.27267	281.804	261.235	9260	9060	424207.302	514676.287	469441.7945
Topaza_pella	Trochilidae	Present	12.2	2801.984	155397.7915	751.7125	17150	21475	2187.666667	1759	2788.369	2815.599	157466.517	153329.066	785.627	717.798	22450	20500	3484220.492	3144949.511	3314585.002
